5950,4640,5518,4385,6231,6293,8923,6212,8751,5759,8557,5924,4712,4705,5770,6919,5489,4824,11945,11258,10369,8207,10128,8028,8658
11871,9367,12106,9290,12196,10307,19265,17210,15223,12929,18184,10728,10737,10073,11012,11886,12317,10324,21600,18572,19533,18841,21501,18168,15938
18197,13509,16969,14928,18299,18700,28420,24318,21149,20011,25381,19127,14940,14116,16520,15611,16149,16502,30668,28453,29904,26061,30027,26911,25480
23880,18063,22150,20880,23599,23647,36993,30250,28930,27980,32898,25761,21870,18465,22722,22292,21688,21620,39540,42037,39793,35832,39086,37178,34246
29502,24525,28608,25627,29364,29347,44828,39871,38643,35607,37308,34048,26131,24565,26203,27301,28994,25875,48643,51340,43905,45101,48201,47401,45247
34893,30357,34241,32614,34390,35734,52104,45824,43627,42120,44901,40574,30949,29217,29838,31687,35372,30176,58738,62740,54677,55712,56406,55307,52034
41507,35444,38728,36997,38748,41735,58577,52625,48732,52079,50476,46554,34751,33942,36261,37181,40455,34986,68187,73844,63825,64611,63205,67692,63982
47669,41852,44647,43019,45703,46423,66667,59631,54968,57819,56439,55116,39273,38041,41615,40733,44680,38829,76045,85133,73047,72077,72801,76288,69989
54727,48541,50051,49302,50794,52801,73364,66152,60391,65247,66406,63143,44138,43485,47648,48803,48804,42542,81281,90300,79620,83334,79132,86941,80982
58770,52942,55633,54030,57515,58421,81126,72486,69239,74089,75119,67369,47749,48046,52903,53608,53982,47486,90741,98458,88432,93915,89336,94742,89963
65182,58665,60204,59311,62782,64875,87374,81946,76232,80722,82145,72970,53299,52943,57204,57980,60183,50995,99843,106811,95525,107284,94378,103759,98800
71135,64093,64617,64316,69817,70535,92204,88266,84147,85728,91468,79298,57612,57050,62686,62791,64695,57351,106612,116644,107631,114745,104894,112309,109899
76829,70134,68867,71023,75555,76908,97800,95503,91915,95332,96139,85200,62504,62404,68546,69651,70455,62661,116423,124148,115321,123220,111028,121407,121930
81503,74457,72847,75866,82041,82388,105618,104698,99432,103840,104017,94444,68504,67356,72282,74549,75387,66942,130017,131031,120306,128459,116574,131350,133744
87118,78899,79033,79386,88300,88150,111799,112611,106764,110217,112827,101436,72528,73710,76927,79738,79257,72943,135927,140860,131476,137174,126275,139507,142671
93623,83970,83475,85234,94460,96435,120344,117532,114735,120532,120449,110154,77048,79486,80481,83272,83144,77973,146154,153348,139412,146193,133419,150208,150462
97705,88818,88518,90062,100732,100695,126916,124090,120455,131139,127300,117617,81363,83662,84741,88738,88524,85140,157176,164299,149368,154811,141222,159718,161540
101767,93659,93577,94929,105839,106444,134253,135106,125167,137647,135220,126125,85888,88394,91136,95278,94351,89214,163571,173864,161765,163372,148353,170249,169999
108641,98047,98567,101572,111631,110928,143669,142208,131182,143907,141303,131269,89710,93816,96167,100112,98544,94835,170938,180082,168359,170821,153424,176309,178025
112810,103638,103897,107251,116526,116961,150804,148704,138407,150539,151374,137773,94468,98910,101241,104643,102901,99065,176888,188612,178603,177803,160293,185374,186720
117261,111120,108984,113558,122708,121586,158708,153901,143663,159002,160133,147105,99044,103871,105506,109784,107764,103841,186062,196542,188335,184075,168015,195694,198334
122779,115954,113677,117873,127594,128844,165114,163364,150243,164484,167005,157018,104482,108902,110707,113587,112688,108118,194426,206648,196178,190979,174991,203262,206713
128209,122294,118769,123573,133156,133500,171924,172301,156031,170480,176682,164715,109812,114719,116429,119802,117447,112690,201794,212399,207572,198194,182379,214565,219528
133221,128862,124409,129961,137880,137826,176483,179054,165971,175712,184852,172058,114985,121004,122132,123450,123703,118821,211787,220918,219169,207137,188721,223054,228545
138939,133916,129011,135484,143564,142545,184336,186217,172806,184005,192272,179707,119170,126317,126374,128266,127820,123853,219058,231363,228550,214007,197765,232518,234491
143244,139058,133741,141202,147599,147623,191543,192011,177706,193299,201994,186293,123800,130920,132135,132523,133508,129721,227176,242192,236917,225832,205634,239441,245210
149765,144649,140004,144711,153572,154379,196939,196986,185030,200140,210220,191956,126431,134791,136325,138290,139846,135515,233722,254031,244052,233562,212576,247508,254319
156316,150489,145926,149520,161109,159362,206045,206293,191879,210061,214787,203509,129396,141025,141878,143790,145298,141714,243626,263468,256592,243343,222875,258379,265705
161373,155373,152796,154576,166998,166482,213661,215689,198489,218656,222924,210505,134344,146532,147649,149137,151205,147418,255664,275568,263772,251419,231614,269912,273886
166655,160108,157899,159486,171484,172830,222812,220973,205269,228770,231516,216209,139656,153077,152865,155068,156835,154202,266728,284944,272272,260079,238438,279676,286739
171553,167701,162042,164824,177568,178397,227915,226792,212487,236529,240439,225664,143402,156994,157219,163212,162115,159328,277196,292281,279852,272190,252064,287514,291904
175370,173554,167342,170581,183474,184859,235092,234710,216818,242782,246776,232721,146281,161536,163100,167798,168442,165055,285871,298388,289039,282648,262727,299255,299864
180062,180718,171593,175520,188839,190755,243612,241412,223890,251875,257316,240308,149647,166959,169021,171600,173836,170550,293121,309594,297032,292647,275061,307031,309219
185219,189488,177461,182356,194398,196011,252698,247870,231330,258217,267098,247416,155686,173646,174045,176835,179018,176736,304632,319067,303035,303735,286472,316441,319749
190236,194324,182458,188220,198927,203410,260391,254070,237692,265879,274479,254316,163377,177610,177931,181507,184660,184124,313942,330833,309206,314998,297490,322639,328789
196620,201402,188553,191987,205094,210083,269500,263210,244448,273137,283687,260515,167035,183276,182265,186883,189109,189990,321570,339260,317091,320643,305322,330978,338214
200932,207981,194627,196683,210185,216885,280126,270615,252911,281723,290665,269007,171202,187257,188700,191393,193823,194093,329116,349277,325369,328478,311929,339028,349949
206058,213115,198028,200710,216540,222837,288792,280797,261753,290150,296192,275532,176479,191807,193877,196374,200192,198142,340247,361359,336988,336933,321335,350894,357258
209273,216539,202706,205540,220994,230037,297222,289063,268958,295380,303734,283713,180919,196603,198714,201358,206965,203055,347787,370171,342544,345983,330914,359133,368099
214970,221462,207690,211471,225541,236683,304467,297848,277107,301108,312186,293037,186693,201416,204612,206947,211657,209358,354075,380115,350770,356268,340272,368562,380589
220668,226088,212771,217096,230817,242194,311731,303754,285409,309723,318732,302368,192279,206538,208426,212640,216733,214463,362581,392727,360402,366351,349330,376699,392337
226504,231839,218894,224007,235463,247795,316315,311394,291103,318344,325419,310227,198734,212051,213892,217775,222135,220503,368228,400260,369529,373969,360509,387105,398859
232212,235581,223502,228655,241488,252633,322769,319199,298699,323175,334156,317619,203884,216993,218598,224691,227963,225810,380611,406999,378691,380191,367972,393156,408689
237869,240500,228955,233569,248164,258403,330088,328640,305119,332408,342988,324815,209910,222584,223684,230009,234553,230870,386962,417737,388839,386663,376068,404560,416470
243805,247724,233667,240551,253746,264667,337554,336076,311766,340219,350868,332004,215441,227888,227785,237405,240047,236333,392827,425515,395696,397116,385692,414997,426823
248422,253431,240000,247050,259848,270973,345155,341226,319635,347492,361027,338476,220346,231728,231308,243879,248158,240457,399354,437345,408643,405308,395326,423533,438111
254265,258473,245883,253392,266285,276525,354760,347583,327078,354348,370556,345735,224332,236575,235005,247714,255138,246541,406319,444981,417917,416385,406413,436407,447880
259544,264776,250783,258806,271721,281051,359643,356203,337888,360009,380099,352514,228323,240998,240286,251238,260002,251950,414851,456242,424228,430184,413331,445672,455126
263335,270251,255934,265821,276312,287262,369324,361795,343735,368698,385824,361143,231280,244986,244744,256532,265124,257084,424578,462943,433995,439095,421695,454128,465483
268530,274901,262895,271730,281545,293750,375465,369616,349356,376370,394888,368034,238362,250145,249696,264365,269737,262937,433361,475019,442318,446285,429038,470097,475419
5370,5498,5257,5434,5630,5875,7509,7392,6987,7527,7897,7360,4767,5002,4993,5287,5394,5258,8667,9500,8846,8925,8580,9401,9508
